desc,lat,lng,name,waste_type
NY msw,42.7067400787,-73.8497395203,Albany Rapp Road,"Asbestos (Friable), Non-petroleum Contaminated Soil, Ash (WWTP Sludge), Construction & Demolition Debris, MSW (Residential/Institutional & Commercial)"
NY msw,42.8099064867,-73.7305602984,Colonie Sanitary Landfill,"Yard Waste, Construction & Demolition Debris, Petroleum Contaminated Soil, Industrial, Animal Carcasses, MSW (Residential/Institutional & Commercial)"
NY msw,42.1602386788,-75.0539647226,Delaware County SWMF,"MSW (Residential/Institutional & Commercial), Construction & Demolition Debris, Asbestos (Friable), Sewage Treatment Plant Sludge, Brush, Branches, Trees, & Stumps, Petroleum Contaminated Soil, Commingled Paper & Containers"
NY msw,44.6920328482,-73.5965803951,Clinton County Landfill,"Construction & Demolition Debris, MSW (Residential/Institutional & Commercial)"
NY msw,44.9717076843,-74.3389815649,Franklin County Regional Landfill,"MSW (Residential/Institutional & Commercial), Construction & Demolition Debris, Sewage Treatment Plant Sludge"
NY msw,43.0082288991,-74.4697509731,Fulton County Landfill,"MSW (Residential/Institutional & Commercial), Commingled Paper & Containers, Asbestos (Friable), Waste Tires, Construction & Demolition Debris, Industrial, Sewage Treatment Plant Sludge, Yard Waste, Sludge"
NY msw,43.8180369995,-75.9186399778,Development Authority of the North Country Landfill,"Construction & Demolition Debris, Asbestos (Non-Friable), Non-petroleum Contaminated Soil, Sludge (Paper mill), Sludge (Industrial), Asbestos (Friable), Biosolids, MSW (Residential/Institutional & Commercial)"
NY msw,43.4528989798,-75.4147839303,Ava Landfill,"Construction & Demolition Debris, MSW (Residential/Institutional & Commercial), Industrial, Sewage Treatment Plant Sludge"
NY msw,42.2399658764,-75.9738791612,Broome County Landfill,"MSW (Residential/Institutional & Commercial), Construction & Demolition Debris, Asbestos (Friable), Petroleum Contaminated Soil"
NY msw,42.9528966185,-76.5955110165,Auburn Landfill No. 2,"MSW (Residential/Institutional & Commercial), Ash (WWTP Sludge), Asbestos (Non-Friable), Petroleum Contaminated Soil, Construction & Demolition Debris"
NY msw,42.5695824677,-75.6761731343,Chenango County Landfill,"Treated RMW, MSW (Residential/Institutional & Commercial), Construction & Demolition Debris, Asbestos (Friable), Industrial, Sewage Treatment Plant Sludge"
NY msw,42.6342052866,-76.0670126557,Cortland County Landfill Westside Extension,"MSW (Residential/Institutional & Commercial), Construction & Demolition Debris, Sewage Treatment Plant Sludge"
NY msw,43.0362292404,-75.7047947881,Madison County West Side Extension LF,"Treated RMW, MSW (Residential/Institutional & Commercial), Construction & Demolition Debris, Foundry Sand, Petroleum Contaminated Soil, Sewage Treatment Plant Sludge"
NY msw,43.3473741167,-76.3399200311,Bristol Hill SLF,"Ash MSW Energy Recovery Combined, MSW (Residential/Institutional & Commercial)"
NY msw,42.0323543062,-76.6813626512,Chemung County Sanitary Landfill,"Non-Radioactive, Construction & Demolition Debris, Petroleum Contaminated Soil, Industrial, MSW (Residential/Institutional & Commercial)"
NY msw,43.0857259253,-77.3843884327,High Acres Western Expansion Landfill,"Treated RMW, MSW (Residential/Institutional & Commercial), Construction & Demolition Debris, Asbestos (Friable), Industrial, Ash MSW Energy Recovery Fly, Sewage Treatment Plant Sludge, Petroleum Contaminated Soil"
NY msw,43.0549089051,-77.9371962263,Mill Seat SLF,"Asbestos (Friable), MSW (Residential/Institutional & Commercial)"
NY msw,42.8559935533,-77.0796007732,Ontario County Sanitary Landfill,"MSW (Residential/Institutional & Commercial), Construction & Demolition Debris, Asbestos (Friable), Industrial, Ash MSW Energy Recovery Fly, Sewage Treatment Plant Sludge, Petroleum Contaminated Soil, Waste Tires, Glass"
NY msw,42.9254244375,-76.8463039922,Seneca Meadows LF,"Ash MSW Energy Recovery Fly, Construction & Demolition Debris, Non-petroleum Contaminated Soil, Sewage Treatment Plant Sludge, Industrial, MSW (Residential/Institutional & Commercial), Waste Tires, Treated RMW, Grit"
NY msw,42.3170650206,-77.3792135888,Bath Sanitary Landfill,"Asbestos (Friable), Construction & Demolition Debris, Non-Radioactive, Commingled Paper & Containers, Industrial, Petroleum Contaminated Soil, MSW (Residential/Institutional & Commercial)"
NY msw,42.2610930935,-78.0330272039,Allegany County Landfill,"Biosolids, Sewage Treatment Plant Sludge, MSW (Residential/Institutional & Commercial)"
NY msw,42.2868958831,-78.0103620207,Hyland Landfill,"Asbestos (Friable), Construction & Demolition Debris, Non-petroleum Contaminated Soil, Sludge (Industrial), Biosolids, MSW (Residential/Institutional & Commercial)"
NY msw,42.207146845,-79.3203422692,Chautauqua Landfill,"Ash (Coal-Bottom), Ash (Coal-Fly), Asbestos (Non-Friable), Construction & Demolition Debris, Sludge (Industrial), Waste Tires, Asbestos (Friable), Biosolids, MSW (Residential/Institutional & Commercial)"
NY msw,42.58016903,-78.4956364473,Chaffee Landfill,"Ash (Coal-Bottom), Ash (Coal-Fly), Asbestos (Non-Friable), Construction & Demolition Debris, Sludge (Industrial), Asbestos (Friable), Biosolids, MSW (Residential/Institutional & Commercial)"
NY msw,43.1027008175,-78.9909358876,Allied Waste Niagara Falls Landfill,"Ash (Coal-Bottom), Ash (Coal-Fly), Ash MSW Energy Recovery Combined, Ash (WWTP Sludge), Asbestos (Non-Friable), Construction & Demolition Debris, Sludge (Industrial), Asbestos (Friable), Waste Tires, MSW (Residential/Institutional & Commercial)"
NY msw,43.2134012519,-78.9763831904,Modern Landfill,"Construction & Demolition Debris, Asbestos (Non-Friable), Non-petroleum Contaminated Soil, Sludge (Industrial), Asbestos (Friable), MSW (Residential/Institutional & Commercial)"
CT,41.789186,-72.911308,M,BW
CT,41.6499287,-72.7568019,Mattabassett District,SPC/Sludge Ash
CT,41.2954044,-72.5506796,M,BW
CT,41.6696684,-72.603524,M,BW
CT,41.4171932,-72.3837421,M,BW
CT,41.7735623,-72.5544652,M,BW/SPC
CT,41.332246,-73.2074604,M,BW
CT,41.6787206,-73.2513012,M,BW
CT,41.5885739,-73.4410196,New Milford Connecticut Farms LLC,SPC
CT,41.4761461,-73.4089594,Kimberly-Clark Co.,SPC/Paper Sludge
CT,41.4569335,-71.9313384,M,BW
CT,41.6820148,-72.8745576,M,BW
CT,41.8896399,-71.9141877,Wheelabrator,ASH
CT,41.5061822,-72.2657835,M,BW
CT,41.403503,-71.8467597,Conn. American Water Co.,SPC/Alum Residuals
CT,41.2948206,-73.2380499,M,BW
NY construction,42.2574,-74.95874,Burton Clark C & D,Construction & Demolition Debris
NY construction,42.78491,-74.03308,Santoro C & D Landfill,Construction & Demolition Debris
NY construction,44.26967,-73.96493,North Elba C&D Landfill,Construction & Demolition Debris
NY construction,43.40007,-73.72558,Lake George C&D Debris Landfill,Construction & Demolition Debris
NY construction,43.51174,-73.90841,Thurman C&D Debris Landfill,Construction & Demolition Debris
NY construction,43.06203,-76.24801,Honeywell/Camillus Bed #15 C&D,Construction & Demolition Debris
NY construction,42.13077,-77.97515,L.C. Whitford Co. C&D Landfill,Construction & Demolition Debris
NY construction,42.11332,-77.87815,Southern Tier Kleen Fill,Construction & Demolition Debris
NY construction,43.15789,-78.72394,Niagara Co. Refuse Disposal District C&D Landfill,Construction & Demolition Debris
